"scheduled","movie","number.visitors","filled..","screening.room","capacity","minutes","lag_min","buffer_min","fear_rating"
"03-01-2014 20:15","The Secret Life of Walter Mitty",226,94.96,2,238,114,18.5,8,1
"03-01-2014 23:15","The Secret Life of Walter Mitty",56,23.53,2,238,114,18.5,8,1
"04-01-2014 11:20","The Little Ghost",47,19.75,2,238,92,12,0,1
"04-01-2014 13:45","The Hunger Games: Catching Fire",116,48.74,2,238,146,5,5,2
"04-01-2014 17:15","The Secret Life of Walter Mitty",117,49.16,2,238,114,18.5,8,1
"04-01-2014 20:15","The Secret Life of Walter Mitty",227,95.38,2,238,114,18.5,8,1
"04-01-2014 23:15","The Secret Life of Walter Mitty",147,61.76,2,238,114,18.5,8,1
"05-01-2014 11:20","The Little Ghost",67,28.15,2,238,92,12,0,1
"05-01-2014 13:45","The Hunger Games: Catching Fire",183,76.89,2,238,146,5,5,2
"05-01-2014 17:15","The Secret Life of Walter Mitty",191,80.25,2,238,114,18.5,8,1
"05-01-2014 20:15","The Secret Life of Walter Mitty",194,81.51,2,238,114,18.5,8,1
"05-01-2014 23:15","The Secret Life of Walter Mitty",22,9.24,2,238,114,18.5,8,1
"06-01-2014 11:20","The Little Ghost",47,19.74,2,238,92,12,0,1
"06-01-2014 17:15","The Secret Life of Walter Mitty",41,17.22,2,238,114,18.5,8,1
"06-01-2014 20:15","The Secret Life of Walter Mitty",110,46.21,2,238,114,18.5,8,1
"06-01-2014 23:15","The Secret Life of Walter Mitty",12,5.04,2,238,114,18.5,8,1
"07-01-2014 11:20","The Little Ghost",79,33.19,2,238,92,12,0,1
"07-01-2014 13:45","The Hunger Games: Catching Fire",87,36.55,2,238,146,5,5,2
"07-01-2014 17:15","The Secret Life of Walter Mitty",36,15.12,2,238,114,18.5,8,1
"07-01-2014 20:15","The Secret Life of Walter Mitty",145,60.92,2,238,114,18.5,8,1
"07-01-2014 23:15","The Secret Life of Walter Mitty",12,5.04,2,238,114,18.5,8,1
"08-01-2014 13:45","The Hunger Games: Catching Fire",48,20.16,2,238,146,5,5,2
"08-01-2014 17:15","The Secret Life of Walter Mitty",39,16.38,2,238,114,18.5,8,1
"08-01-2014 20:15","The Secret Life of Walter Mitty",138,57.98,2,238,114,18.5,8,1
"08-01-2014 23:15","The Secret Life of Walter Mitty",10,4.2,2,238,114,18.5,8,1
"09-01-2014 14:10","The Starving Games",11,4.84,7,227,83,14,10,2
"09-01-2014 16:30","The Hobbit: The Desolation of Smaug",20,8.81,7,227,161,41.5,5,1.5
"09-01-2014 20:35","Paranormal Activity: The Marked Ones",71,31.27,7,227,84,25,0,3.275
"09-01-2014 22:35","Paranormal Activity: The Marked Ones",27,11.89,7,227,84,25,0,3.275
"10-01-2014 14:10","The Starving Games",43,18.94,7,227,83,14,10,2
"10-01-2014 16:30","The Hobbit: The Desolation of Smaug",31,13.65,7,227,161,41.5,5,1.5
"10-01-2014 20:35","Paranormal Activity: The Marked Ones",121,53.3,7,227,84,25,0,3.275
"10-01-2014 22:35","Paranormal Activity: The Marked Ones",90,39.64,7,227,84,25,0,3.275
"11-01-2014 11:35","Belle and Sebastian",13,5.72,7,227,104,13.5,1.5,1.5
"11-01-2014 14:10","The Starving Games",60,26.43,7,227,83,14,10,2
"11-01-2014 16:30","The Hobbit: The Desolation of Smaug",107,47.13,7,227,161,41.5,5,1.5
"11-01-2014 20:35","Paranormal Activity: The Marked Ones",197,86.78,7,227,84,25,0,3.275
"11-01-2014 22:35","Paranormal Activity: The Marked Ones",142,62.55,7,227,84,25,0,3.275
